#{"t_start": 1769877804.0415854, "env_id": "SocNavGym-v1"}
r,l,t
107.293517,174,955.000071
101.024952,211,956.909821
103.737557,331,959.748322
102.052245,40,960.145042
106.6146,195,961.918685
100.199953,4,961.993799
107.71258,219,963.990138
105.817618,159,965.422261
104.195388,514,970.209955
101.798066,90,971.045172
104.133402,56,971.584484
106.795138,129,972.779863
103.977768,71,973.420374
-564.265878,600,978.846753
103.143737,169,980.43733
105.718439,145,981.757938
-486.647869,600,987.35736
101.820015,24,987.610812
104.415261,102,988.585604
107.873009,255,990.821842
104.649556,113,991.801315
106.077376,109,992.766976
106.666377,161,994.125983
103.606755,83,994.846457
95.341414,128,995.970769
105.836342,120,997.01499
65.425986,187,998.690384
100.469204,41,999.10241
102.978312,180,1000.688101
101.51732,123,1001.816519
3.170322,600,1007.186444
105.648396,60,1007.779041
106.92789,94,1008.686097
101.727452,29,1008.981992
101.833353,38,1009.362378
106.112505,116,1010.449687
101.341378,113,1011.497819
108.589388,138,1012.751944
101.734634,23,1012.994079
101.899051,135,1014.218229
102.430655,92,1015.002499
104.883536,66,1015.598294
104.960128,178,1017.120919
104.260162,211,1018.846664
105.114092,200,1020.521718
-529.652683,600,1025.926426
-34.91589,600,1031.416128
105.634455,132,1032.617152
104.26288,86,1033.4173
101.896254,205,1035.434823
104.363533,173,1036.915084
104.472706,99,1037.819964
101.99585,22,1038.051332
104.245686,198,1039.754065
105.974485,217,1041.537345
103.197804,74,1042.211559
103.766786,75,1042.871414
98.491353,73,1043.572986
104.443981,120,1044.666065
-508.200128,600,1050.130414
102.618757,57,1050.672458
95.857827,124,1051.81692
101.310903,21,1052.043032
104.473599,75,1052.756379
101.446921,128,1053.936673
100.672234,62,1054.504455
105.38895,127,1055.641701
102.089797,37,1056.012022
103.650993,93,1056.848739
101.298649,268,1059.138397
88.034196,218,1061.046828
105.170838,75,1061.709915
104.274475,439,1065.282447
100.884153,110,1066.236817
101.677544,38,1066.604468
108.8633,196,1068.337487
-111.359757,388,1071.887158
104.02919,93,1072.765283
101.284267,70,1073.415575
108.543572,109,1074.437037
102.013577,107,1075.39702
100.507066,49,1075.840218
106.840893,149,1077.208738
101.512223,32,1077.524116
106.386537,81,1078.286374
106.033742,193,1079.961139
105.851935,88,1080.792321
103.384219,44,1081.221004
100.47199,11,1081.935964
100.692785,25,1084.357008
103.862104,110,1085.404482
103.029552,195,1087.25445
105.790025,204,1088.988513
106.804801,219,1090.966111
103.081776,65,1091.621041
34.929821,107,1092.608165
109.310551,259,1094.918673
101.964956,130,1096.095189
103.089958,55,1096.651092
104.126501,71,1097.32997
94.766193,402,1100.902365
103.044356,43,1101.367001
107.012702,103,1102.356863
105.77427,143,1103.678617
101.91279,93,1104.514818
103.396896,38,1104.884159
103.339981,42,1105.265062
104.112764,100,1106.127573
100.964621,79,1106.81689
103.493005,196,1108.450612
103.560802,66,1109.047089
106.073125,103,1109.956463
101.558428,49,1110.425588
101.449017,58,1110.948462
-591.54991,600,1116.619195
102.436003,29,1116.940546
104.339056,148,1118.279878
102.004821,55,1118.814186
105.45881,99,1119.779542
104.858154,70,1120.446196
102.156066,31,1120.764275
102.474498,74,1121.474583
101.791564,29,1121.78484
102.918115,38,1122.172831
102.284952,59,1122.731961
101.092769,116,1123.800405
103.921662,44,1124.250243
100.267139,5,1124.343123
109.237528,110,1125.389479
105.583074,96,1126.297005
103.383533,65,1126.906022
102.898908,38,1127.267729
103.894877,57,1128.410932
101.822119,28,1128.75834
104.815839,98,1129.924375
105.829071,75,1130.651693
105.749912,96,1131.566505
102.029934,26,1131.856039
101.004297,15,1132.033101
99.082415,70,1132.727374
100.364936,19,1132.954459
103.865574,213,1134.818875
101.381712,69,1135.502418
99.28149,85,1136.294052
102.306579,37,1136.672887
105.467942,105,1137.669271
96.489122,96,1138.589792
98.90976,187,1140.249667
103.34658,46,1140.700573
101.322322,133,1141.884789
105.630344,165,1143.381409
107.032029,105,1144.388554
102.467774,85,1145.178823
98.119935,159,1146.566715
102.541232,109,1147.556036
107.023828,139,1148.792094
104.800148,63,1149.41913
82.379307,139,1150.739363
103.940131,110,1151.758366
103.627435,52,1152.260679
95.463433,100,1153.222718
104.373968,70,1153.887368
105.396113,131,1155.080104
101.818216,22,1155.323485
105.09397,152,1156.67457
100.349188,7,1156.773572
104.205851,49,1157.266742
95.51869,144,1158.513495
